date	type	station_train_code	train_no
2022-08-17	D	D786(通海-攀枝花南)	840000D78602
2022-08-17	D	D787(通海-攀枝花南)	840000D78602
2022-08-17	D	D788(攀枝花南-通海)	760000D78510
2022-08-17	D	D789(攀枝花南-玉溪)	760000D78901
2022-08-17	D	D790(昆明-攀枝花南)	800000D79003
2022-08-17	D	D791(攀枝花南-昆明)	760000D79100
2022-08-17	D	D792(攀枝花南-玉溪)	760000D78901
2022-08-17	D	D794(玉溪-攀枝花南)	840000D79402
2022-08-17	D	D795(玉溪-攀枝花南)	840000D79402
2022-08-17	D	D797(西昌西-西双版纳)	760000D79702
2022-08-17	D	D798(西双版纳-西昌西)	840000D79801
2022-08-17	D	D799(西双版纳-西昌西)	840000D79801
2022-08-17	D	D800(西昌西-西双版纳)	760000D79702
2022-08-17	D	D805(贵阳北-兰州)	780000D80806
2022-08-17	D	D806(兰州-贵阳北)	850000D80602
2022-08-17	D	D807(兰州-贵阳北)	850000D80602
2022-08-17	D	D808(贵阳北-兰州)	780000D80806
2022-08-17	D	D821(北京-沈阳)	240000D82101
2022-08-17	D	D822(沈阳-北京)	120000D82201
2022-08-17	D	D823(北京-沈阳)	240000D82300
2022-08-17	D	D824(沈阳-北京)	120000D82401
2022-08-17	D	D825(北京-沈阳)	240000D82500
2022-08-17	D	D826(沈阳-北京)	120000D82601
2022-08-17	D	D831(北京-锦州南)	240000D83101
2022-08-17	D	D832(锦州南-北京)	150000D83200
2022-08-17	D	D841(攀枝花南-昆明)	760000D84100
2022-08-17	D	D842(昆明-西昌西)	800000D84202
2022-08-17	D	D843(西昌西-昆明)	760000D84301
2022-08-17	D	D844(昆明-西昌西)	800000D84402
2022-08-17	D	D845(西昌西-昆明)	760000D84501
2022-08-17	D	D846(昆明-攀枝花南)	800000D84602
2022-08-17	D	D847(西昌西-昆明)	760000D84701
2022-08-17	D	D848(昆明-西昌西)	800000D84801
2022-08-17	D	D849(攀枝花南-昆明)	760000D84904
2022-08-17	D	D850(昆明-攀枝花南)	800000D85004
2022-08-17	D	D951(成都东-上海)	760000D95404
2022-08-17	D	D952(上海-成都东)	550000D95202
2022-08-17	D	D953(上海-成都东)	550000D95202
2022-08-17	D	D954(成都东-上海)	760000D95404
2022-08-17	D	D955(重庆北-上海)	770000D9580D
2022-08-17	D	D956(上海-重庆北)	550000D95690
2022-08-17	D	D957(上海-重庆北)	550000D95690
2022-08-17	D	D958(重庆北-上海)	770000D9580D
2022-08-17	D	D1001(清河-呼和浩特东)	24000D100102
2022-08-17	D	D1002(呼和浩特东-清河)	33000D100202
2022-08-17	D	D1003(清河-呼和浩特东)	24000D100303
2022-08-17	D	D1004(呼和浩特东-清河)	33000D100401
2022-08-17	D	D1005(清河-呼和浩特东)	24000D100502
2022-08-17	D	D1006(呼和浩特东-清河)	33000D100620
2022-08-17	D	D1007(清河-呼和浩特东)	24000D100703
2022-08-17	D	D1008(呼和浩特东-清河)	33000D100802
2022-08-17	D	D1009(清河-呼和浩特东)	24000D100903
2022-08-17	D	D1010(呼和浩特东-清河)	33000D101003
2022-08-17	D	D1011(清河-呼和浩特东)	24000D101103
2022-08-17	D	D1012(呼和浩特东-清河)	33000D101203
2022-08-17	D	D1013(清河-呼和浩特东)	24000D101303
2022-08-17	D	D1014(呼和浩特东-清河)	33000D101402
2022-08-17	D	D1015(清河-呼和浩特东)	24000D101502
2022-08-17	D	D1016(呼和浩特东-清河)	33000D101620
2022-08-17	D	D1017(清河-呼和浩特东)	24000D101702
2022-08-17	D	D1018(呼和浩特东-清河)	33000D101802
2022-08-17	D	D1019(清河-呼和浩特东)	24000D101903
2022-08-17	D	D1020(呼和浩特东-清河)	33000D102003
2022-08-17	D	D1021(清河-呼和浩特东)	24000D102102
2022-08-17	D	D1022(呼和浩特东-清河)	33000D102202
2022-08-17	D	D1023(清河-呼和浩特东)	24000D102300
2022-08-17	D	D1024(呼和浩特东-清河)	33000D102400
2022-08-17	D	D1025(清河-呼和浩特东)	24000D102500
2022-08-17	D	D1026(呼和浩特东-清河)	33000D102600
2022-08-17	D	D1027(清河-呼和浩特东)	24000D102700
2022-08-17	D	D1028(呼和浩特东-清河)	33000D102800
2022-08-17	D	D1071(清河-包头)	24000D107101
2022-08-17	D	D1072(包头-清河)	33000D107203
2022-08-17	D	D1073(清河-包头)	24000D107303
2022-08-17	D	D1074(包头-清河)	33000D107403
2022-08-17	D	D1075(清河-包头)	24000D107502
2022-08-17	D	D1076(包头-清河)	33000D107602
2022-08-17	D	D1091(清河-乌兰察布)	24000D109101
2022-08-17	D	D1092(乌兰察布-清河)	36000D109202
2022-08-17	D	D1101(清河-大同南)	24000D110102
2022-08-17	D	D1102(大同南-清河)	28000D110202
2022-08-17	D	D1103(清河-大同南)	24000D110302
2022-08-17	D	D1104(大同南-清河)	28000D110403
2022-08-17	D	D1105(清河-大同南)	24000D110503
2022-08-17	D	D1106(大同南-清河)	28000D110601
2022-08-17	D	D1107(清河-大同南)	24000D110702
2022-08-17	D	D1108(大同南-清河)	28000D110802
2022-08-17	D	D1109(清河-大同南)	24000D110903
2022-08-17	D	D1111(清河-大同南)	24000D111102
2022-08-17	D	D1112(大同南-清河)	28000D111201
2022-08-17	D	D1113(清河-大同南)	24000D111303
2022-08-17	D	D1114(大同南-清河)	28000D111402
2022-08-17	D	D1115(清河-大同南)	24000D111503
2022-08-17	D	D1116(大同南-清河)	28000D111602
2022-08-17	D	D1117(清河-大同南)	24000D111701
2022-08-17	D	D1118(大同南-清河)	28000D111802
2022-08-17	D	D1119(清河-大同南)	24000D111901
2022-08-17	D	D1121(清河-大同南)	24000D112102
2022-08-17	D	D1122(大同南-清河)	28000D112202
2022-08-17	D	D1123(清河-大同南)	24000D112303
2022-08-17	D	D1124(大同南-清河)	28000D112401
2022-08-17	D	D1601(石家庄-济南西)	26000D160108
2022-08-17	D	D1603(石家庄-济南西)	26000D16030K
2022-08-17	D	D1604(济南西-石家庄)	4p000D160404
2022-08-17	D	D1606(济南西-石家庄)	4p000D160603
2022-08-17	D	D1611(石家庄-青岛北)	26000D16110D
2022-08-17	D	D1612(青岛北-石家庄)	49000D161204
2022-08-17	D	D1615(石家庄-威海)	26000D16150E
2022-08-17	D	D1616(威海-石家庄)	49000D16160C
2022-08-17	D	D1621(石家庄-荣成)	26000D16210D
2022-08-17	D	D1622(荣成-石家庄)	49000D162208
2022-08-17	D	D1623(石家庄-威海)	26000D16230E
2022-08-17	D	D1624(威海-石家庄)	49000D162409
2022-08-17	D	D1625(石家庄-烟台)	26000D16250C
2022-08-17	D	D1626(烟台-石家庄)	49000D162609
2022-08-17	D	D1631(太原南-青岛北)	27000D163408
2022-08-17	D	D1632(青岛北-太原南)	49000D163203
2022-08-17	D	D1633(青岛北-太原南)	49000D163203
2022-08-17	D	D1634(太原南-青岛北)	27000D163408
2022-08-17	D	D1635(运城北-青岛)	27000D16381D
2022-08-17	D	D1636(青岛-运城北)	49000D16360A
2022-08-17	D	D1637(青岛-运城北)	49000D16360A
2022-08-17	D	D1638(运城北-青岛)	27000D16381D
2022-08-17	D	D1639(运城北-青岛北)	27000D164223
2022-08-17	D	D1640(青岛北-运城北)	49000D164002
2022-08-17	D	D1641(青岛北-运城北)	49000D164002
2022-08-17	D	D1642(运城北-青岛北)	27000D164223
2022-08-17	D	D1643(运城北-济南西)	27000D164608
2022-08-17	D	D1644(济南西-运城北)	4p000D164408
2022-08-17	D	D1645(济南西-运城北)	4p000D164408
2022-08-17	D	D1646(运城北-济南西)	27000D164608
2022-08-17	D	D1647(运城北-威海)	27000D165003
2022-08-17	D	D1648(威海-运城北)	49000D164804
2022-08-17	D	D1649(威海-运城北)	49000D164804
2022-08-17	D	D1650(运城北-威海)	27000D165003
2022-08-17	D	D1651(太原南-荣成)	27000D165402
2022-08-17	D	D1652(荣成-太原南)	49000D165202
2022-08-17	D	D1653(荣成-太原南)	49000D165202
2022-08-17	D	D1654(太原南-荣成)	27000D165402
2022-08-17	D	D1661(石家庄-盐城)	26000D166104
2022-08-17	D	D1662(盐城-石家庄)	5f000D166202
2022-08-17	D	D1663(太原南-南通)	27000D166601
2022-08-17	D	D1664(南通-太原南)	5f000D166402
2022-08-17	D	D1665(南通-太原南)	5f000D166402
2022-08-17	D	D1666(太原南-南通)	27000D166601
2022-08-17	D	D1667(太原南-苏州)	27000D167002
2022-08-17	D	D1668(苏州-太原南)	55000D166802
2022-08-17	D	D1669(苏州-太原南)	55000D166802
2022-08-17	D	D1670(太原南-苏州)	27000D167002
2022-08-17	D	D1671(青岛北-兰州西)	49000D167400
2022-08-17	D	D1672(兰州西-青岛北)	8d000D167200
2022-08-17	D	D1673(兰州西-青岛北)	8d000D167200
2022-08-17	D	D1674(青岛北-兰州西)	49000D167400
2022-08-17	D	D1675(威海-西安北)	49000D167800
2022-08-17	D	D1676(西安北-威海)	4f000D167600
2022-08-17	D	D1677(西安北-威海)	4f000D167600
2022-08-17	D	D1678(威海-西安北)	49000D167800
2022-08-17	D	D1683(广州东-赣州西)	65000D168306
2022-08-17	D	D1684(赣州西-广州东)	57000D168500
2022-08-17	D	D1685(赣州西-广州东)	57000D168500
2022-08-17	D	D1686(广州东-赣州西)	65000D168306
2022-08-17	D	D1687(广州东-吉安西)	65000D168701
2022-08-17	D	D1688(吉安西-广州东)	57000D168901
2022-08-17	D	D1689(吉安西-广州东)	57000D168901
2022-08-17	D	D1690(广州东-吉安西)	65000D168701
2022-08-17	D	D1691(广州东-吉安西)	65000D169101
2022-08-17	D	D1692(吉安西-广州东)	57000D169302
2022-08-17	D	D1693(吉安西-广州东)	57000D169302
2022-08-17	D	D1694(广州东-吉安西)	65000D169101
2022-08-17	D	D1701(西安北-贵阳北)	4f000D17010A
2022-08-17	D	D1702(贵阳北-西安北)	78000D170207
2022-08-17	D	D1703(贵阳北-西安北)	78000D170207
2022-08-17	D	D1704(西安北-贵阳北)	4f000D17010A
2022-08-17	D	D1705(西安北-贵阳北)	4f000D17050B
2022-08-17	D	D1706(贵阳北-西安北)	78000D170606
2022-08-17	D	D1707(贵阳北-西安北)	78000D170606
2022-08-17	D	D1708(西安北-贵阳北)	4f000D17050B
2022-08-17	D	D1751(成都东-广州南)	76000D175101
2022-08-17	D	D1752(广州南-成都东)	6c000D175200
2022-08-17	D	D1753(成都东-广州南)	76000D175302
2022-08-17	D	D1754(广州南-成都东)	6c000D175403
2022-08-17	D	D1755(泸州-广州南)	77000D175804
2022-08-17	D	D1756(广州南-泸州)	6c000D175607
2022-08-17	D	D1757(广州南-泸州)	6c000D175607
2022-08-17	D	D1758(泸州-广州南)	77000D175804
2022-08-17	D	D1761(成都东-江门)	76000D176105
2022-08-17	D	D1762(江门-成都东)	6y000D176201
2022-08-17	D	D1763(成都东-广州南)	76000D176306
2022-08-17	D	D1764(广州南-成都东)	6c000D176403
2022-08-17	D	D1765(成都东-广州南)	76000D176501
2022-08-17	D	D1766(广州南-成都东)	6c000D176602
2022-08-17	D	D1779(绵阳-北海)	76000D17790B
2022-08-17	D	D1780(北海-绵阳)	73000D178009
2022-08-17	D	D1781(成都东-南宁东)	76000D17810A
2022-08-17	D	D1782(南宁东-成都东)	71000D17820A
2022-08-17	D	D1785(成都东-南宁东)	76000D17850B
2022-08-17	D	D1786(南宁东-成都东)	71000D178608
2022-08-17	D	D1791(成都东-柳州)	76000D179104
2022-08-17	D	D1793(重庆西-北海)	77000D179306
2022-08-17	D	D1794(南宁东-重庆西)	71000D179409
2022-08-17	D	D1796(柳州-成都东)	71000D179606
2022-08-17	D	D1797(重庆西-北海)	77000D179704
2022-08-17	D	D1798(北海-重庆西)	73000D179806
2022-08-17	D	D1801(成都东-广州南)	76000D180103
2022-08-17	D	D1806(广州南-成都东)	6c000D18060E
2022-08-17	D	D1809(成都东-广州南)	76000D18120F
2022-08-17	D	D1810(广州南-成都东)	6c000D181009
2022-08-17	D	D1812(成都东-广州南)	76000D18120F
2022-08-17	D	D1817(成都东-广州南)	76000D182004
2022-08-17	D	D1818(广州南-成都东)	6c000D18180G
2022-08-17	D	D1819(广州南-成都东)	6c000D18180G
2022-08-17	D	D1820(成都东-广州南)	76000D182004
2022-08-17	D	D1821(成都东-广州南)	76000D182105
2022-08-17	D	D1822(广州南-成都东)	6c000D18220D
2022-08-17	D	D1825(成都东-广州南)	76000D18250A
2022-08-17	D	D1826(广州南-成都东)	6c000D182608
2022-08-17	D	D1833(成都东-广州南)	76000D18330A
2022-08-17	D	D1834(广州南-成都东)	6c000D183407
2022-08-17	D	D1835(广州南-成都东)	6c000D183407
2022-08-17	D	D1841(成都东-珠海)	76000D18410B
2022-08-17	D	D1842(珠海-成都东)	6e000D184206
2022-08-17	D	D1851(广元-广州)	76000D18510A
2022-08-17	D	D1852(广州-广元)	63000D185200
2022-08-17	D	D1855(绵阳-广州)	76000D185502
2022-08-17	D	D1856(广州-绵阳)	63000D185600
2022-08-17	D	D1859(德阳-广州)	76000D185903
2022-08-17	D	D1860(广州-德阳)	63000D186000
2022-08-17	D	D1861(重庆西-广州南)	77000D186103
2022-08-17	D	D1862(广州南-重庆西)	6c000D186209
2022-08-17	D	D1864(广州南-重庆西)	6c000D186408
2022-08-17	D	D1865(重庆西-广州南)	77000D186509
2022-08-17	D	D1867(重庆西-广州南)	77000D186709
2022-08-17	D	D1868(广州南-重庆西)	6c000D186805
2022-08-17	D	D1869(重庆西-广州南)	77000D186906
2022-08-17	D	D1870(广州南-重庆西)	6c000D187007
2022-08-17	D	D1871(重庆西-珠海)	77000D187110
2022-08-17	D	D1872(广州南-重庆西)	6c000D18720K
2022-08-17	D	D1874(广州南-重庆西)	6c000D18740E
2022-08-17	D	D1875(重庆西-广州南)	77000D187507
2022-08-17	D	D1877(重庆西-广州南)	77000D187704
2022-08-17	D	D1878(广州南-重庆西)	6c000D18780D
2022-08-17	D	D1881(巫山-广州南)	77000D188110
2022-08-17	D	D1882(广州南-巫山)	6c000D188210
2022-08-17	D	D1901(太原南-成都东)	27000D190107
2022-08-17	D	D1902(成都东-太原南)	76000D190207
2022-08-17	D	D1903(太原南-成都东)	27000D190306
2022-08-17	D	D1904(成都东-太原南)	76000D19040D
2022-08-17	D	D1905(太原南-成都东)	27000D190508
2022-08-17	D	D1906(成都东-太原南)	76000D190609
2022-08-17	D	D1911(西安北-成都东)	4f000D19110H
2022-08-17	D	D1912(峨眉山-西安北)	76000D19120B
2022-08-17	D	D1913(西安北-成都东)	4f000D19130A
2022-08-17	D	D1914(成都东-西安北)	76000D19140B
2022-08-17	D	D1915(西安北-成都东)	4f000D191509
2022-08-17	D	D1917(西安北-成都东)	4f000D191707
2022-08-17	D	D1918(成都东-西安北)	76000D191806
2022-08-17	D	D1919(西安北-成都东)	4f000D191907
2022-08-17	D	D1920(成都东-西安北)	76000D19200H
2022-08-17	D	D1921(西安北-成都东)	4f000D19210B
2022-08-17	D	D1923(西安北-成都东)	4f000D192309
2022-08-17	D	D1924(成都东-西安北)	76000D192407
2022-08-17	D	D1925(西安北-成都东)	4f000D19250C
2022-08-17	D	D1926(成都东-西安北)	76000D192608
2022-08-17	D	D1927(西安北-成都东)	4f000D19270B
2022-08-17	D	D1928(成都东-西安北)	76000D19280C
2022-08-17	D	D1929(西安北-成都东)	4f000D19290D
2022-08-17	D	D1930(成都东-西安北)	76000D193006
2022-08-17	D	D1931(西安北-成都东)	4f000D19310D
2022-08-17	D	D1932(成都东-西安北)	76000D193206
2022-08-17	D	D1933(西安北-成都东)	4f000D19330I
2022-08-17	D	D1934(成都东-西安北)	76000D193404
2022-08-17	D	D1935(西安北-成都东)	4f000D193508
2022-08-17	D	D1936(成都东-西安北)	76000D193606
2022-08-17	D	D1937(西安北-成都东)	4f000D193707
2022-08-17	D	D1938(成都东-西安北)	76000D19380D
2022-08-17	D	D1939(西安北-成都东)	4f000D19390A
2022-08-17	D	D1940(成都东-西安北)	76000D19400I
2022-08-17	D	D1942(成都东-西安北)	76000D194206
2022-08-17	D	D1943(西安北-成都东)	4f000D19430D
2022-08-17	D	D1944(成都东-西安北)	76000D194407
2022-08-17	D	D1946(成都东-西安北)	76000D194607
2022-08-17	D	D1947(西安北-峨眉山)	4f000D19470C
2022-08-17	D	D1948(成都东-西安北)	76000D194806
2022-08-17	D	D1949(西安北-成都东)	4f000D19490D
2022-08-17	D	D1950(成都东-西安北)	76000D19500A
2022-08-17	D	D1951(西安北-成都东)	4f000D19510A
2022-08-17	D	D1952(成都东-西安北)	76000D195206
2022-08-17	D	D1965(重庆西-西安北)	77000D196505
2022-08-17	D	D1968(重庆西-西安北)	77000D196505
2022-08-17	D	D1970(宜宾西-西安北)	76000D197001
2022-08-17	D	D1971(西安北-宜宾西)	4f000D197108
2022-08-17	D	D1978(西安北-重庆北)	4f000D19790A
2022-08-17	D	D1979(西安北-重庆北)	4f000D19790A
2022-08-17	D	D1982(西安北-重庆北)	4f000D19830G
2022-08-17	D	D1983(西安北-重庆北)	4f000D19830G
2022-08-17	D	D1985(重庆北-西安北)	77000D198502
2022-08-17	D	D1988(重庆北-西安北)	77000D198502
2022-08-17	D	D1989(重庆北-西安北)	77000D198903
2022-08-17	D	D1990(西安北-重庆西)	4f000D19910B
2022-08-17	D	D1991(西安北-重庆西)	4f000D19910B
2022-08-17	D	D1992(重庆北-西安北)	77000D198903
2022-08-17	D	D1995(成都东-银川)	76000D199800
2022-08-17	D	D1996(银川-成都东)	87000D199702
2022-08-17	D	D1997(银川-成都东)	87000D199702
2022-08-17	D	D1998(成都东-银川)	76000D199800
2022-08-17	D	D2113(南京南-深圳北)	5l000D211300
2022-08-17	D	D2114(深圳北-南京南)	6i000D211401
2022-08-17	D	D2115(福州-长沙南)	58000D211801
2022-08-17	D	D2116(长沙南-福州)	6c000D211601
2022-08-17	D	D2117(长沙南-福州)	6c000D211601
